ruta_id,ruta_nombre,personajes,etapa_vida,medio_transporte,waypoint_orden,waypoint_lugar,waypoint_tipo,latitud,longitud,dist_segmento_m,NAINr500m,NAINr1500m,NAINr5000m,NACHr500m,NACHr1500m,NACHr5000m,Ta_mean,UHI_mean
6,Ruta del segundo trabajo — Colonia del Valle / Ameyalco,Susana,Juventud/adulta,"camion, a_pie",4,Colonia del Valle (zona residencial hostil),transito,19.3942,-99.167,1.6,1.85,2.05,1.9,1.12,1.22,1.18,25.97,0.66
6,Ruta del segundo trabajo — Colonia del Valle / Ameyalco,Susana,Juventud/adulta,"camion, a_pie",5,Esquina Ameyalco y Av. Magdalena,destino/trabajo,19.3387,-99.1912,86.8,1.35,1.22,1.34,1.06,1.21,1.29,25.63,0.57
7,Ruta del tercer trabajo — El pesero a colonia Ajusco,Susana,Adulta,pesero,1,Nuevo apartamento (sur),origen,19.35,-99.175,52.5,1.53,1.3,1.3,1.17,1.23,1.16,24.88,0.37
7,Ruta del tercer trabajo — El pesero a colonia Ajusco,Susana,Adulta,pesero,2,Ruta del pesero (colonia rica que protesta),transito,19.34,-99.17,102.9,1.3,1.04,1.09,1.15,1.18,1.19,24.67,0.31
7,Ruta del tercer trabajo — El pesero a colonia Ajusco,Susana,Adulta,pesero,3,Colonia Ajusco (oficina),destino/trabajo,19.3191,-99.161,4.3,1.48,1.49,1.02,0.82,1.07,1.06,26.11,0.7
8,Ruta de Insurgentes — La columna vertebral,Susana,Todas,"camion, a_pie, pesero",1,Insurgentes Norte,extremo,19.4513,-99.152,39.2,1.77,1.87,2.16,1.1,1.19,1.31,27.09,0.96
8,Ruta de Insurgentes — La columna vertebral,Susana,Todas,"camion, a_pie, pesero",2,Insurgentes / Reforma,cruce,19.4264,-99.1691,4.5,1.41,1.36,1.43,1.18,1.1,1.01,24.32,0.22
8,Ruta de Insurgentes — La columna vertebral,Susana,Todas,"camion, a_pie, pesero",3,Insurgentes / Zona Rosa,hito,19.4249,-99.1688,34.3,0.91,1.16,1.31,0.0,0.0,0.0,24.76,0.34
8,Ruta de Insurgentes — La columna vertebral,Susana,Todas,"camion, a_pie, pesero",4,Insurgentes / Alvaro Obregon,cruce,19.4171,-99.17,47.1,1.73,1.55,1.91,1.11,1.17,1.3,26.04,0.68
8,Ruta de Insurgentes — La columna vertebral,Susana,Todas,"camion, a_pie, pesero",5,Insurgentes / Colonia Roma,hito,19.4117,-99.172,27.4,1.6,1.84,1.72,1.1,1.29,1.24,24.6,0.3
8,Ruta de Insurgentes — La columna vertebral,Susana,Todas,"camion, a_pie, pesero",6,Insurgentes Sur / CU-UNAM,extremo,19.3216,-99.1849,356.2,1.76,1.13,1.42,0.0,1.25,1.29,23.0,-0.13
